panel,scenario-id,scenario-text,scenario-url,sex,age,body-area,priority-clinical-areas
Gyn and OB,3191943,"Vaginal bleeding, after first trimester, placenta previa suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5448,Female Only,10 - 60,Pelvis,
Gyn and OB,3191944,"Vaginal bleeding, after first trimester, placenta previa, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5449,Female Only,10 - 60,Pelvis,
Gyn and OB,3191947,"Vaginal bleeding, after first trimester, vasa previa suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5452,Female Only,10 - 60,Pelvis,
Gyn and OB,3191948,"Vaginal bleeding, after first trimester, vasa previa, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5453,Female Only,10 - 60,Pelvis,
Gyn and OB,3074147,"Vaginal bleeding, first trimester, positive beta-HCG",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=861,Female Only,10 - 60,Pelvis,
Gyn and OB,3194840,"Vaginal bulge, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5942,Female Only,18 - 150,Pelvis,
Gyn and OB,3194209,"Vaginal cancer, no recurrence suspected, post treatment evaluation, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5572,Female Only,18 - 150,Pelvis,
Gyn and OB,3194212,"Vaginal cancer, recurrence known, extent of disease evaluation, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5574,Female Only,18 - 150,Pelvis,
Gyn and OB,3194211,"Vaginal cancer, recurrence suspected, extent of disease evaluation, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5573,Female Only,18 - 150,Pelvis,
Gyn and OB,3148587,"Vaginal pain, chronic, post-menopausal",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4575,Female Only,18 - 150,Pelvis,
Gyn and OB,3194839,"Vaginal protrusion, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5941,Female Only,18 - 150,Pelvis,
Gyn and OB,3193993,"Vulvar cancer, treated, recurrence suspected",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5486,Female Only,18 - 150,Pelvis,
Gyn and OB,3148586,"Vulvar pain, chronic, post-menopausal",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4574,Female Only,18 - 150,Pelvis,
Musculoskeletal,3195452,"Osteomyelitis suspected, pelvis, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6356,All,18 - 150,Pelvis,"Hip Pain, Shoulder Pain (to include suspected rotator cuff injury)"
Musculoskeletal,3195557,"Osteomyelitis suspected, pelvis, radiography findings suggest osteomyelitis, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6459,All,18 - 150,Pelvis,"Hip Pain, Shoulder Pain (to include suspected rotator cuff injury)"
Musculoskeletal,3195570,"Osteomyelitis suspected, pelvis, radiography normal, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6472,All,18 - 150,Pelvis,"Hip Pain, Shoulder Pain (to include suspected rotator cuff injury)"
Musculoskeletal,3195702,"Osteonecrosis suspected, pelvis, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6590,All,18 - 150,Pelvis,"Hip Pain, Shoulder Pain (to include suspected rotator cuff injury)"
Musculoskeletal,3195718,"Osteonecrosis suspected, pelvis, radiography normal, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6605,All,18 - 150,Pelvis,"Hip Pain, Shoulder Pain (to include suspected rotator cuff injury)"
Musculoskeletal,3195731,"Osteonecrosis suspected, pelvis, suspicious findings on radiography, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6618,All,18 - 150,Pelvis,"Hip Pain, Shoulder Pain (to include suspected rotator cuff injury)"
Musculoskeletal,3197394,"Pelvis stress fracture on radiography, next imaging study, associated complication",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7693,All,18 - 150,Pelvis,"Hip Pain, Shoulder Pain (to include suspected rotator cuff injury)"
Musculoskeletal,3197393,"Pelvis stress fracture on radiography, next imaging study, determining extent",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7692,All,18 - 150,Pelvis,"Hip Pain, Shoulder Pain (to include suspected rotator cuff injury)"
Musculoskeletal,3109094,"Primary bone tumor suspected, pelvis, benign on radiography, not osteoid osteoma, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2898,All,18 - 150,Pelvis,
Musculoskeletal,3109080,"Primary bone tumor suspected, pelvis, incidental lesion on MR or CT, not clearly benign, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2884,All,18 - 150,Pelvis,
Musculoskeletal,3165314,"Primary bone tumor suspected, pelvis, indeterminate or aggressive on radiography, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5261,All,18 - 150,Pelvis,
Musculoskeletal,3109052,"Primary bone tumor suspected, pelvis, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=2856,All,18 - 150,Pelvis,
