,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
56,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
57,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
58,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
59,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",3149341,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
60,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197151,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
61,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197151,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
62,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197151,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
63,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197151,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
64,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197151,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
65,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, next imaging study for characterization",3197151,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
66,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3197155,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
67,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3197155,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
68,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3197155,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate (Disagreement)
69,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3197155,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
70,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3197155,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
71,Gyn and OB,"Adnexal mass, no acute symptoms, postmenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",3197155,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
72,Gyn and OB,"Adnexal mass, no acute symptoms, pregnant, initial pelvic US indeterminate, next imaging study for characterization",3197158,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
73,Gyn and OB,"Adnexal mass, no acute symptoms, pregnant, initial pelvic US indeterminate, next imaging study for characterization",3197158,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
74,Gyn and OB,"Adnexal mass, no acute symptoms, pregnant, initial pelvic US indeterminate, next imaging study for characterization",3197158,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
75,Gyn and OB,"Adnexal mass, no acute symptoms, pregnant, initial pelvic US indeterminate, next imaging study for characterization",3197158,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
76,Gyn and OB,"Adnexal mass, no acute symptoms, pregnant, initial pelvic US indeterminate, next imaging study for characterization",3197158,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
77,Gyn and OB,"Adnexal mass, no acute symptoms, pregnant, initial pelvic US indeterminate, next imaging study for characterization",3197158,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
78,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,US duplex Doppler pelvis,0 mSvO,0 mSv [ped]O,Usually appropriate
79,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,US pelvis transabdominal and US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
80,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
81,Gyn and OB,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",3082202,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
