,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
83,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,US abdomen,0 mSvO,0 mSv [ped]O,Usually appropriate
84,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
85,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
86,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,MRI abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
87,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,MRI abdomen without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
88,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,US pelvis,0 mSvO,0 mSv [ped]O,Usually not appropriate
89,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,Fluoroscopy upper GI series,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
90,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,Fluoroscopy upper GI series with small bowel follow-through,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
91,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,Radiography abdomen and pelvis,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
92,Gastrointestinal,"Abdominal wall hernia suspected, spigelian, initial imaging",3195280,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
