panel,scenario-id,scenario-text,scenario-url,sex,age,body-area,priority-clinical-areas,ct_usually_appropriate,ct_may_be_appropriate,ct_not_appropriate,other_usually_appropriate,other_may_be_appropriate,other_not_appropriate,mr_usually_appropriate,mr_may_be_appropriate,mr_not_appropriate,us_usually_appropriate,us_may_be_appropriate,us_not_appropriate,other_modality_usually_appropriate,other_modality_may_be_appropriate,other_modality_not_appropriate,green-green,green-yellow,green-red,yellow-green,yellow-yellow,yellow-red,red-green,red-yellow,red-red
Gastrointestinal,3196535,"Abnormal liver function tests, hyperbilirubinemia, subacute cholestasis, conjugated, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7157,All,18 - 150,Abdomen,,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3196536,"Abnormal liver function tests, hyperbilirubinemia, subacute cholestasis, unconjugated, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7158,All,18 - 150,Abdomen,,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3411,"Abscess, liver",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=495,All,18 - 150,Abdomen,,True,True,True,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3194195,"Colectomy with anastomosis, complication suspected, initial imaging.",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5563,All,18 - 150,Abdomen-pelvis,,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3194194,"Coloproctectomy with anastomosis, complication suspected, initial imaging.",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5562,All,18 - 150,Abdomen-pelvis,,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3074190,"Crohn disease suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=896,All,18 - 150,Abdomen,,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3074192,"Crohn disease, acute exacerbation suspected",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=898,All,18 - 150,Abdomen,,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195285,"Deep pelvic hernia suspected, obturator, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6237,All,18 - 150,Pelvis,,True,False,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195287,"Deep pelvic hernia suspected, perineal, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6239,All,18 - 150,Pelvis,,True,False,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195286,"Deep pelvic hernia suspected, sciatic, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6238,All,18 - 150,Pelvis,,True,False,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195290,"Diaphragmatic hernia suspected, Bochdalek, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6241,All,18 - 150,Chest-abdomen,,True,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3195291,"Diaphragmatic hernia suspected, Morgagni, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6242,All,18 - 150,Chest-abdomen,,True,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3195289,"Diaphragmatic hernia suspected, traumatic, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6240,All,18 - 150,Chest-abdomen,,True,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3194197,"Epigastric pain, acid reflux suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5564,All,18 - 150,Abdomen,,False,True,True,True,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False
Gastrointestinal,3194201,"Epigastric pain, duodenal ulcer suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5568,All,18 - 150,Abdomen,,False,True,True,True,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False
